"batsman1","bowler1","ballsFaced","fours","sixes"
"A Ashish Reddy","A Nehra",9,1,0
"A Ashish Reddy","AB Dinda",7,1,0
"A Ashish Reddy","AD Mathews",12,1,2
"A Ashish Reddy","AD Russell",3,0,0
"A Ashish Reddy","Anureet Singh",2,0,0
"A Ashish Reddy","Azhar Mahmood",3,0,0
"A Ashish Reddy","B Kumar",1,0,0
"A Ashish Reddy","BW Hilfenhaus",2,0,0
"A Ashish Reddy","CH Morris",5,0,1
"A Ashish Reddy","DJ Bravo",13,3,1
"A Ashish Reddy","Harbhajan Singh",8,0,1
"A Ashish Reddy","Imran Tahir",2,0,0
"A Ashish Reddy","JEC Franklin",3,0,0
"A Ashish Reddy","JP Duminy",1,0,0
"A Ashish Reddy","JP Faulkner",2,0,0
"A Ashish Reddy","KA Pollard",3,0,0
"A Ashish Reddy","KK Cooper",5,1,0
"A Ashish Reddy","M Kartik",8,0,0
"A Ashish Reddy","M Morkel",5,0,0
"A Ashish Reddy","MG Johnson",3,1,0
"A Ashish Reddy","MM Sharma",2,0,1
"A Ashish Reddy","MR Marsh",3,0,0
"A Ashish Reddy","MS Gony",4,1,0
"A Ashish Reddy","P Kumar",4,1,0
"A Ashish Reddy","Parvez Rasool",9,2,1
"A Ashish Reddy","PP Chawla",2,0,0
"A Ashish Reddy","PV Tambe",4,0,0
"A Ashish Reddy","R Vinay Kumar",11,0,1
"A Ashish Reddy","RJ Peterson",5,0,1
"A Ashish Reddy","RP Singh",2,0,0
"A Ashish Reddy","Sandeep Sharma",3,0,2
"A Ashish Reddy","SL Malinga",4,0,0
"A Ashish Reddy","SMSM Senanayake",4,0,0
"A Ashish Reddy","SP Narine",1,0,0
"A Ashish Reddy","SR Watson",5,0,0
"A Ashish Reddy","STR Binny",4,0,0
"A Ashish Reddy","SW Tait",4,2,0
"A Ashish Reddy","TG Southee",4,0,1
"A Ashish Reddy","UT Yadav",10,2,1
"A Ashish Reddy","YS Chahal",7,0,2
"A Chandila","R Rampaul",2,0,0
"A Chandila","R Vinay Kumar",2,0,0
"A Chandila","RP Singh",2,0,0
