"batsman1","bowler1","totalRuns"
"A Ahmadhel","A Nanda",4
"A Ahmadhel","V Saini",2
"A Amado","Atif Mehmood",2
"A Amado","Imran Ameer",3
"A Amado","LA Burns",2
"A Amado","Mohammad Kamran",5
"A Amado","Raja Adeel",2
"A Amado","Yasir Ali",5
"A Andrews","Noman Amjad",4
"A Ashokan","A Kheterpal",15
"A Ashokan","Abdullah Akbarjan",26
"A Ashokan","AG Weligamage",15
"A Ashokan","Ali Masood",2
"A Ashokan","Ali Nayyer",2
"A Ashokan","Aqib Iqbal",6
"A Ashokan","Arslan Amjad",7
"A Ashokan","Ashwin Vinod",8
"A Ashokan","Asif Bevinje",14
"A Ashokan","B George",11
"A Ashokan","BA Pai",1
"A Ashokan","Bilal Zalmai",14
"A Ashokan","BP Adapaka",41
"A Ashokan","Dawood Ahmadzai",1
"A Ashokan","DV Varghese",2
"A Ashokan","Elias Hasan",11
"A Ashokan","Faheem Nazir",10
"A Ashokan","G Venkateswaran",4
"A Ashokan","Gaurav Mishra",3
"A Ashokan","Habib Khan",1
"A Ashokan","HV Mandhyan",10
"A Ashokan","I Asif",6
"A Ashokan","Ibrahim Jabarkhel",6
"A Ashokan","Ijaz Hussain",6
"A Ashokan","Itibarshah Deedar",6
"A Ashokan","J Shaju",16
"A Ashokan","Jaweed Sadran",6
"A Ashokan","K Fletcher",1
"A Ashokan","Khaibar Deldar",3
"A Ashokan","Khalid Ahmadi",6
"A Ashokan","KJ Ferrary",5
"A Ashokan","L Bruce",1
"A Ashokan","LP Kasturiarachchige",13
"A Ashokan","M Dixit",1
"A Ashokan","M Kadyan",4
"A Ashokan","M Whelan",11
"A Ashokan","MMR Obili",10
"A Ashokan","Murid Ekrami",4
"A Ashokan","N Advani",1
"A Ashokan","NK Aneesh Kumar",10
"A Ashokan","NSK Mehta",9
"A Ashokan","Osman Khan",7
"A Ashokan","P Florin",6
"A Ashokan","P Malav",25
"A Ashokan","P Mishra",3
"A Ashokan","R Satheesan",3
"A Ashokan","Rahmatullah Mangal",7
"A Ashokan","S Vats",1
"A Ashokan","SA Mohandas",5
"A Ashokan","Saber Zakhil",4
"A Ashokan","Sahel Zadran",16
"A Ashokan","Sami Ullah",7
"A Ashokan","Shahil Momin",3
"A Ashokan","SKS Gill",2
"A Ashokan","Taranjeet Singh",41
"A Ashokan","Umair Tariq",20
"A Ashokan","V Saini",20
"A Ashokan","V Vijh",6
"A Ashokan","Washeem Abbas",3
"A Ashokan","WJ Cope",16
"A Ashokan","Zain Ahmad",8
"A Ashokan","Zeeshan Kukikhel",4
"A Bagai","AO Suji",5
"A Bagai","AR Cusack",10
"A Bagai","CO Obuya",8
"A Bagai","DI Allan",7
"A Bagai","DLS van Bunge",3
"A Bagai","DT Johnston",8
"A Bagai","GH Dockrell",19
"A Bagai","HA Varaiya",4
"A Bagai","JK Kamande",10
"A Bagai","KJ O'Brien",7
"A Bagai","LN Onyango",1
"A Bagai","MC Sorensen",7
"A Bagai","NM Odhiambo",2
"A Bagai","NN Odhiambo",8
"A Bagai","PM Seelaar",4
"A Bagai","PW Borren",4
"A Bagai","RG Aga",6
"A Bagai","RN ten Doeschate",3
"A Bagai","RR Patel",1
"A Bagai","SO Ngoche",15
"A Bagai","SO Tikolo",17
"A Bagai","TJ Murtagh",16
"A Balbirnie","A Bohara",6
"A Balbirnie","Aamir Kaleem",5
"A Balbirnie","AC Evans",32
"A Balbirnie","Ahmed Raza",14
