"bowler1","batsman1","balls","runsConceded","ER"
"A Ahmadhel","S Nadigotla",2,0,0
"A Amado","B Arora",6,2,2
"A Andrews","CJ Delany",4,3,4.5
"A Andrews","J Albin",2,2,6
"A Andrews","JA Fitzgerald",6,4,4
"A Andrews","Omar Rassol",4,4,6
"A Andrews","P Hatchman",2,1,3
"A Ashokan","A Reyes",13,22,10.1538461538462
"A Ashokan","Anser Mehmood",4,1,1.5
"A Ashokan","Asad Mahmood",2,1,3
"A Ashokan","J Barker",2,1,3
"A Ashokan","J Marples",1,0,0
"A Ashokan","Khaibar Deldar",3,2,4
"A Ashokan","M Dixit",10,17,10.2
"A Ashokan","Mirza Ahsan",6,12,12
"A Ashokan","Noorkhan Ahmedi",4,3,4.5
"A Ashokan","P Malav",8,5,3.75
"A Ashokan","S Nadigotla",7,5,4.28571428571429
"A Ashokan","Sahel Zadran",6,4,4
"A Ashokan","WJ Cope",1,0,0
"A Ashokan","Zahir Mohammed",10,12,7.2
"A Bhargava","Chirag Suri",7,1,0.857142857142857
"A Bhattarai","Irfan Ahmed",4,1,1.5
"A Bhattarai","Irfan Ahmed",4,1,1.5
"A Bishnoi","Hadisullah Tarakhel",22,47,12.8181818181818
"A Bishnoi","Mamoon Latif",3,1,2
"A Bishnoi","Shaheryar Butt",3,2,4
"A Bishnoi","Sheraz Sheikh",2,0,0
"A Bohara","A Balbirnie",5,6,7.2
"A Bohara","A Bhagwat",1,0,0
"A Bohara","Ahmed Faiz Mohammad Noor",18,15,5
"A Bohara","Ainool Hafizs",5,5,6
"A Bohara","Ameel Mauroof",1,1,6
"A Bohara","Amir Hayat",2,1,3
"A Bohara","AR McBrine",2,1,3
"A Bohara","C Pengkumta",2,1,3
"A Bohara","CJA Amini",10,12,7.2
"A Bohara","CP Rizwan",8,8,6
"A Bohara","CR Suryawanshi",1,0,0
"A Bohara","FJ Klaassen",3,3,6
"A Bohara","GC Wilson",4,3,4.5
"A Bohara","Ghulam Shabber",4,6,9
"A Bohara","Ismail Sardar",3,1,2
"A Bohara","J Hill",4,1,1.5
"A Bohara","Janak Prakash",7,1,0.857142857142857
"A Bohara","Kashif Daud",5,5,6
"A Bohara","KH Prajapati",9,7,4.66666666666667
"A Bohara","MNM Aslam",7,11,9.42857142857143
"A Bohara","Mohammad Boota",15,19,7.6
"A Bohara","Mohammad Nadeem",8,5,3.75
"A Bohara","Mohammad Naveed",6,7,7
"A Bohara","MR Adair",6,5,5
"A Bohara","Muhammad Amir",10,10,6
"A Bohara","Muhammad Usman",8,7,5.25
"A Bohara","N Vanua",16,23,8.625
"A Bohara","Naseem Khushi",8,5,3.75
"A Bohara","P Suanchuai",12,12,6
"A Bohara","R Hekure",5,3,3.6
"A Bohara","R Mutumbami",17,20,7.05882352941176
"A Bohara","R Rohan",7,15,12.8571428571429
"A Bohara","Ravinderpal Singh",5,0,0
"A Bohara","Ravinderpal Singh",5,0,0
"A Bohara","S Bau",18,28,9.33333333333333
"A Bohara","SA Edwards",14,11,4.71428571428571
"A Bohara","Salman Nazar",3,2,4
"A Bohara","Shaiman Anwar",9,15,10
"A Bohara","Shoaib Khan",3,1,2
"A Bohara","Simi Singh",5,2,2.4
"A Bohara","Tamoor Sajjad",4,2,3
"A Bohara","TH David",14,14,6
"A Bohara","Virandeep Singh",9,6,4
"A Bohara","VJ Kingma",5,3,3.6
"A Bohara","Waqas Barkat",11,11,6
"A Bohara","Waseem Muhammad",9,21,14
"A Dananjaya","AM Ellis",3,2,4
"A Dananjaya","BJ Watling",3,0,0
"A Dananjaya","C Munro",9,16,10.6666666666667
"A Dananjaya","CH Gayle",8,2,1.5
"A Dananjaya","DA Miller",14,10,4.28571428571429
"A Dananjaya","DJ Mitchell",3,2,4
"A Dananjaya","E Lewis",15,20,8
"A Dananjaya","EJG Morgan",4,3,4.5
"A Dananjaya","HE van der Dussen",16,23,8.625
"A Dananjaya","Liton Das",9,16,10.6666666666667
"A Dananjaya","MJ Guptill",9,9,6
"A Dananjaya","MJ Santner",5,5,6
"A Dananjaya","MK Pandey",26,24,5.53846153846154
