"bowler1","batsman1","balls","runsConceded","ER"
"A Dananjaya","MN Samuels",8,4,3
"A Dananjaya","N Pooran",1,0,0
"A Dananjaya","Q de Kock",4,3,4.5
"A Dananjaya","RG Sharma",26,36,8.30769230769231
"A Dananjaya","RJ Nicol",9,6,4
"A Dananjaya","RR Hendricks",34,42,7.41176470588235
"A Dananjaya","S Dhawan",33,51,9.27272727272727
"A Dananjaya","Sabbir Rahman",5,12,14.4
"A Dananjaya","SC Kuggeleijn",3,6,12
"A Dananjaya","SCJ Broad",1,0,0
"A Dananjaya","Soumya Sarkar",14,15,6.42857142857143
"A Dananjaya","SV Samson",14,21,9
"A Dananjaya","TL Seifert",16,12,4.5
"A Denuwan","J Broad",3,5,10
"A Dhingra","Abhijeet Ahuja",4,2,3
"A Dhingra","Ashwin Vinod",1,0,0
"A Dhingra","G Manan",3,6,12
"A Dhingra","K Fletcher",3,0,0
"A Dhingra","Ritik Tomar",11,13,7.09090909090909
"A Dhingra","S Ashwathnarayana",8,17,12.75
"A Dhingra","Sami Ullah",1,0,0
"A Dhingra","Sulaiman Ali",4,3,4.5
"A Dhingra","V Saini",1,1,6
"A Dhingra","Zeeshan Kukikhel",3,4,8
"A Djorovic","S Thakur",4,11,16.5
"A Dutt","Ahmed Faiz Mohammad Noor",3,0,0
"A Dutt","Anwar Arudin",9,22,14.6666666666667
"A Dutt","DM Nakrani",5,3,3.6
"A Dutt","Kushal Malla",2,6,18
"A Flintoff","AB de Villiers",4,0,0
"A Flintoff","JA Morkel",6,6,6
"A Flintoff","PG Fulton",2,0,0
"A Flintoff","RT Ponting",7,19,16.2857142857143
"A Flintoff","Yuvraj Singh",8,18,13.5
"A Gbla","A Shreshta",3,0,0
"A Gbla","AJ Ayannaike",4,2,3
"A Gbla","CM Akachukwu",16,20,7.5
"A Gbla","IO Okpe",18,24,8
"A Gbla","P Aho",9,6,4
"A Gbla","RA Abolarin",4,6,9
"A Gbla","SA Okpe",9,13,8.66666666666667
"A Husain","ML Castillo",3,5,10
"A Husain","O Stewart",1,0,0
"A Husain","R Davson",2,0,0
"A Karn","TP Visee",2,0,0
"A Khan","BBJL Perera",7,0,0
"A Khan","DJ Bravo",10,9,5.4
"A Khan","JE Dunford",4,5,7.5
"A Khan","NJ Ferraby",3,1,2
"A Khan","RR Sarwan",7,13,11.1428571428571
"A Khan","Sapan Mehta",10,7,4.2
"A Kheterpal","A Reyes",4,2,3
"A Kheterpal","Asif Bevinje",2,1,3
"A Kheterpal","B George",17,17,6
"A Kheterpal","H Lakov",2,2,6
"A Kheterpal","I Katzarski",4,0,0
"A Kheterpal","R Satheesan",18,22,7.33333333333333
"A Kheterpal","T Whiteman",2,0,0
"A Kheterpal","Zeeshan Khan",8,8,6
"A Kirschbaum","C Brown",4,1,1.5
"A Kirschbaum","NS Dhaliwal",3,0,0
"A Krishna","Ahmed Faiz Mohammad Noor",15,12,4.8
"A Krishna","Ainool Hafizs",3,2,4
"A Krishna","AM Tribe",7,6,5.14285714285714
"A Krishna","DF Jacobs",8,6,4.5
"A Krishna","KD Shah",4,4,6
"A Krishna","M Faheem",1,0,0
"A Krishna","Mohamed Arief",5,3,3.6
"A Krishna","S Muniandy",11,7,3.81818181818182
"A Krishna","S Vesawkar",1,0,0
"A Krishna","SC Williams",13,18,8.30769230769231
"A Krishna","Syazrul Idrus",2,0,0
"A Krishna","Syed Aziz",12,25,12.5
"A Krishna","Virandeep Singh",4,2,3
"A Krishna","Waqas Khan",5,7,8.4
"A Krishna","Zubaidi Zulkifle",1,0,0
"A Manousis","JD Newton",5,8,9.6
"A Manousis","W Boshoff",3,1,2
"A Mansale","Ainool Haqqiem",7,8,6.85714285714286
"A Mansale","Fitri Sham",11,14,7.63636363636364
"A Mansale","Mohamed Arief",16,19,7.125
"A Mansale","Nazril Rahman",12,11,5.5
"A Mansale","S Muniandy",4,7,10.5
"A Mansale","Zubaidi Zulkifle",1,0,0
"A Martel","D Nikolov",1,0,0
"A Martel","Dawood Ahmadzai",6,1,1
"A Martel","H Lakov",9,6,4
"A Martel","HA Jackson",5,3,3.6
"A Martel","Jubaid Ahamed",2,1,3
"A Martel","R Dhiman",2,1,3
"A Martel","Zain Ahmad",2,0,0
"A Martin","Imrul Kayes",8,6,4.5
"A Mene-Ejegi","A McAuley",1,0,0
"A Mene-Ejegi","D Jansen",2,0,0
"A Mene-Ejegi","G Burrows",5,3,3.6
"A Mene-Ejegi","H Lakov",43,41,5.72093023255814
"A Mene-Ejegi","I Elec",7,3,2.57142857142857
"A Mene-Ejegi","IA De Silva",28,33,7.07142857142857
"A Mene-Ejegi","JA Burrows",1,0,0
"A Mene-Ejegi","KC D'Souza",9,8,5.33333333333333
"A Mene-Ejegi","M Kadyan",9,9,6
"A Mene-Ejegi","Muhammad Shoaib Ahmed",3,2,4
"A Mene-Ejegi","P Mishra",14,20,8.57142857142857
"A Mishra","Ahmed Shehzad",5,4,4.8
"A Mishra","Anamul Haque",10,5,3
"A Mishra","BJ Haddin",3,2,4
"A Mishra","BJ Hodge",8,7,5.25
"A Mishra","BRM Taylor",14,9,3.85714285714286
"A Mishra","CR Brathwaite",7,11,9.42857142857143
"A Mishra","DJ Bravo",2,0,0
"A Mishra","EJG Morgan",16,20,7.5
"A Mishra","HDRL Thirimanne",1,0,0
"A Mishra","J Charles",1,0,0
"A Mishra","JJ Roy",2,0,0
"A Mishra","MN Samuels",8,3,2.25
"A Mishra","MN Samuels",8,3,2.25
"A Mishra","Nasir Hossain",3,1,2
"A Mishra","Shoaib Malik",7,7,6
"A Mishra","Ziaur Rahman",1,0,0
"A Morris","KS Leverock",10,8,4.8
"A Morris","MD Patel",6,1,1
"A Morris","OGL Bascome",11,5,2.72727272727273
"A Morris","Rizwan Cheema",5,0,0
"A Morris","TS Fray",8,5,3.75
"A Morris","XM Marshall",13,5,2.30769230769231
"A Nanda","H Lakov",1,0,0
"A Nanda","S Wickramasekara",6,22,22
"A Nanda","Taranjeet Singh",4,4,6
"A Nanda","V Hristov",1,0,0
"A Nao","Aasif Sheikh",9,13,8.66666666666667
"A Nao","Karan KC",1,0,0
"A Nathwani","Ansar Iqbal",5,9,10.8
"A Nathwani","Ayyaz Qureshi",6,2,2
"A Nathwani","D Abeyrathna",5,1,1.2
"A Nathwani","Hamid Mahmood",9,4,2.66666666666667
"A Nathwani","J Butler",9,12,8
"A Nathwani","P Pustoslemsek",10,3,1.8
"A Nathwani","Sachin Mandy",8,2,1.5
"A Nathwani","Sher Sahak",1,0,0
"A Nathwani","TC Barker",15,12,4.8
"A Nathwani","Umar Nawaz (2)",13,13,6
"A Nathwani","W Boshoff",24,20,5
"A Natubhai Ahir","R Davson",7,3,2.57142857142857
"A Ndlovu","Asghar Stanikzai",6,9,9
"A Ndlovu","Rashid Khan",3,1,2
"A Nehra","AB de Villiers",6,4,4
"A Nehra","AD Mathews",6,13,13
"A Nehra","BA Stokes",4,4,6
"A Nehra","C Munro",9,7,4.66666666666667
"A Nehra","CH Gayle",19,26,8.21052631578947
"A Nehra","CK Kapugedera",22,48,13.0909090909091
"A Nehra","DJ Bravo",1,0,0
"A Nehra","DJ Hussey",7,11,9.42857142857143
"A Nehra","DPMD Jayawardene",3,4,8
"A Nehra","HM Amla",2,0,0
"A Nehra","J Botha",4,4,6
"A Nehra","JJ Roy",24,26,6.5
"A Nehra","Karim Sadiq",2,0,0
"A Nehra","KMDN Kulasekara",5,10,12
"A Nehra","KW Richardson",2,2,6
"A Nehra","L Ronchi",5,14,16.8
"A Nehra","LD Chandimal",28,31,6.64285714285714
"A Nehra","Mahmudullah",12,20,10
"A Nehra","Mashrafe Mortaza",1,0,0
"A Nehra","MD Gunathilaka",9,8,5.33333333333333
"A Nehra","MEK Hussey",6,4,4
"A Nehra","MN Samuels",2,0,0
"A Nehra","Mohammad Hafeez",5,5,6
"A Nehra","Mohammad Mithun",2,0,0
"A Nehra","Mohammad Shahzad",5,6,7.2
"A Nehra","N Dickwella",3,4,8
"A Nehra","Noor Ali Zadran",5,4,4.8
"A Nehra","RR Sarwan",1,0,0
"A Nehra","S Chanderpaul",3,2,4
"A Nehra","S Prasanna",6,8,8
"A Nehra","Samiullah Shenwari",4,6,9
"A Nehra","Shoaib Malik",5,3,3.6
"A Nehra","Soumya Sarkar",18,21,7
"A Nehra","SW Billings",7,5,4.28571428571429
"A Nehra","TAM Siriwardana",2,1,3
"A Nehra","UT Khawaja",12,10,5
"A Neill","AJ Staal",4,8,12
"A Neill","C Floyd",6,11,11
"A Neill","Jatinder Singh",8,7,5.25
"A Neill","Khurram Nawaz",10,8,4.8
"A Neill","Mehran Khan",9,11,7.33333333333333
"A Neill","PA van Meekeren",4,3,4.5
"A Neill","S Snater",4,1,1.5
"A Nortje","AC Agar",1,0,0
"A Nortje","AD Russell",11,18,9.81818181818182
"A Nortje","AJ Finch",15,13,5.2
"A Nortje","AR Patel",3,1,2
"A Nortje","BFW de Leede",6,0,0
"A Nortje","CBRLS Kumara",1,0,0
"A Nortje","DA Warner",27,34,7.55555555555556
"A Nortje","DJ Hooda",2,0,0
"A Nortje","DM de Silva",1,0,0
"A Nortje","E Lewis",18,13,4.33333333333333
"A Nortje","FA Allen",7,6,5.14285714285714
"A Nortje","Ishan Kishan",17,26,9.17647058823529
"A Nortje","JC Buttler",21,33,9.42857142857143
"A Nortje","JJ Roy",19,17,5.36842105263158
"A Nortje","LD Chandimal",18,19,6.33333333333333
"A Nortje","M Shumba",8,5,3.75
"A Nortje","Mahedi Hasan",1,0,0
"A Nortje","Mahmudullah",3,0,0
"A Nortje","MDKJ Perera",6,5,5
"A Nortje","Mohammad Haris",3,6,12
"A Nortje","Mohammad Wasim",1,0,0
"A Nortje","Mohammed Shami",1,0,0
"A Nortje","N Pooran",5,4,4.8
"A Nortje","Nasum Ahmed",1,0,0
"A Nortje","Nazmul Hossain Shanto",2,0,0
"A Nortje","PVD Chameera",2,0,0
"A Nortje","RR Pant",10,6,3.6
"A Nortje","Shadab Khan",8,26,19.5
"A Nortje","Shakib Al Hasan",3,0,0
"A Nortje","Shan Masood",4,2,3
"A Nortje","SO Hetmyer",3,2,4
"A Nortje","Soumya Sarkar",1,0,0
"A Nortje","SPD Smith",10,24,14.4
"A Nortje","Taskin Ahmed",8,4,3
"A Nortje","Taskin Ahmed",8,4,3
"A Nortje","V Kohli",16,17,6.375
"A Nortje","V Kohli",16,17,6.375
"A Orfila","Amandeep Singh",4,14,21
"A Orfila","Azhar Andani",21,37,10.5714285714286
"A Orfila","Najjam Shahzad",2,0,0
"A Orfila","Sirajullah Khadim",2,0,0
"A Orfila","Zeeshan Khan",8,4,3
"A Pusthay","R Gowthaman",2,0,0
"A Pusthay","Rizwan Mahmood",2,1,3
"A Pusthay","SA Ahmad",3,2,4
"A Pusthay","T Bharaj",12,13,6.5
"A Rangaswamy","AA Navicha",6,1,1
"A Rangaswamy","AJ Ayannaike",5,2,2.4
"A Rangaswamy","CM Akachukwu",3,8,16
"A Rangaswamy","CN Onwuzulike",3,0,0
"A Rangaswamy","G Sesay",1,0,0
"A Rangaswamy","JC Darji",3,1,2
"A Rangaswamy","RG Mukasa",5,3,3.6
"A Rangaswamy","Riazat Ali Shah",2,6,18
"A Rangaswamy","S Conteh",2,0,0
"A Rangaswamy","SA Okpe",2,0,0
"A Rangaswamy","SF Nhavotso",3,1,2
"A Rangaswamy","SJ Baard",6,5,5
"A Reyes","Saim Hussain",14,24,10.2857142857143
"A Shahzad","Imran Farhat",2,0,0
"A Shahzad","Imran Nazir",3,4,8
"A Shahzad","SPD Smith",6,9,9
"A Shukla","A Vala",1,0,0
"A Shukla","Adnan Idrees",4,5,7.5
"A Shukla","Aryan Lakra",6,9,9
"A Shukla","RG Sharma",3,5,10
"A Shukla","V Aravind",1,0,0
"A Shukla","Waseem Muhammad",1,0,0
"A Symonds","AR Adams",3,1,2
"A Symonds","HJH Marshall",3,3,6
"A Symonds","J Botha",1,0,0
"A Symonds","JH Kallis",7,8,6.85714285714286
"A Symonds","JWM Dalrymple",10,8,4.8
"A Symonds","ME Trescothick",3,2,4
"A Symonds","MP Vaughan",2,0,0
"A Symonds","SM Pollock",6,9,9
"A Symonds","WPUJC Vaas",2,0,0
"A Turkmen","Gurpratap Singh",1,0,0
"A Turkmen","MJ Ansell",2,1,3
"A Turkmen","R Satheesan",4,2,3
"A Turkmen","WAE Burton",12,13,6.5
"A Vala","A Balbirnie",1,0,0
"A Vala","Aritra Dutta",1,0,0
"A Vala","CO Obuya",4,1,1.5
"A Vala","DMW Rawlins",4,6,9
"A Vala","GC Wilson",4,4,6
"A Vala","JJ Smit",5,3,3.6
"A Vala","Karan KC",1,0,0
"A Vala","Liton Das",1,0,0
"A Vala","MG Erasmus",1,0,0
"A Vala","MO Kain",1,0,0
"A Vala","MP O'Dowd",3,5,10
"A Vala","NJ O'Brien",5,2,2.4
"A Vala","Rameez Shahzad",10,6,3.6
"A Vala","RD Berrington",10,13,7.8
"A Vala","RN Patel",2,0,0
"A Vala","RP Magar",2,1,3
"A Vala","Shakib Al Hasan",10,20,12
"A Vala","SN Netravalkar",2,1,3
"A Vala","Sompal Kami",5,2,2.4
"A Vala","SR Bhudia",7,2,1.71428571428571
"A Vala","VM Vaghela",9,8,5.33333333333333
"A Vala","WTS Porterfield",13,20,9.23076923076923
"A Vala","WTS Porterfield",13,20,9.23076923076923
"A Vala","Z Groenewald",7,3,2.57142857142857
"A Vala","ZE Green",4,1,1.5
"A Venkatesh","A Pusthay",9,4,2.66666666666667
"A Venkatesh","Amjad Sher",11,20,10.9090909090909
"A Venkatesh","CJPF Kalugamage",2,0,0
"A Venkatesh","GK Berg",3,6,12
"A Venkatesh","GP Meade",3,5,10
"A Venkatesh","JOP Scamans",2,0,0
"A Venkatesh","M Campopiano",9,12,8
"A Venkatesh","M Jenkinson",5,1,1.2
"A Venkatesh","M Koli",1,0,0
"A Venkatesh","MB Tambe",9,10,6.66666666666667
"A Venkatesh","Raaz Mohammad",1,0,0
"A Venkatesh","S Vashisht",3,1,2
"A Venkatesh","Sohail Ahmad",4,4,6
"A Venkatesh","Taranjeet Singh",4,2,3
"A Zampa","ADS Fletcher",7,1,0.857142857142857
"A Zampa","Afif Hossain",11,3,1.63636363636364
"A Zampa","Asif Ali",12,13,6.5
"A Zampa","BA King",4,7,10.5
"A Zampa","BA Stokes",4,4,6
"A Zampa","Babar Azam",64,66,6.1875
"A Zampa","BKG Mendis",22,28,7.63636363636364
"A Zampa","CAK Rajitha",2,0,0
"A Zampa","CK Kapugedera",16,13,4.875
"A Zampa","D Pretorius",5,3,3.6
"A Zampa","DA Miller",28,27,5.78571428571429
"A Zampa","DAS Gunaratne",8,6,4.5
"A Zampa","DJ Malan",36,70,11.6666666666667
"A Zampa","E Lewis",11,12,6.54545454545455
"A Zampa","EJG Morgan",4,5,7.5
"A Zampa","EMDY Munaweera",12,8,4
"A Zampa","F Hand",3,1,2
"A Zampa","FA Allen",3,1,2
"A Zampa","GD Phillips",22,42,11.4545454545455
"A Zampa","H Klaasen",6,8,8
"A Zampa","HH Pandya",17,16,5.64705882352941
"A Zampa","Ibrahim Zadran",9,8,5.33333333333333
"A Zampa","Ibrahim Zadran",9,8,5.33333333333333
"A Zampa","IS Sodhi",1,0,0
"A Zampa","JDS Neesham",4,8,12
"A Zampa","JJ Roy",2,0,0
"A Zampa","K Rabada",9,3,2
"A Zampa","KIC Asalanka",16,18,6.75
"A Zampa","KL Rahul",50,60,7.2
"A Zampa","KM Jadhav",5,4,4.8
"A Zampa","KS Williamson",37,41,6.64864864864865
"A Zampa","LD Chandimal",29,22,4.55172413793103
"A Zampa","Mahedi Hasan",9,14,9.33333333333333
"A Zampa","MD Shanaka",32,30,5.625
"A Zampa","MJ Guptill",38,62,9.78947368421053
"A Zampa","MK Pandey",3,0,0
"A Zampa","MM Ali",17,28,9.88235294117647
"A Zampa","Mohammad Mithun",1,0,0
"A Zampa","Mohammad Naim",13,13,6
"A Zampa","MR Adair",6,5,5
"A Zampa","MS Dhoni",15,9,3.6
"A Zampa","Mustafizur Rahman",1,0,0
"A Zampa","N Dickwella",5,6,7.2
"A Zampa","Najibullah Zadran",2,0,0
"A Zampa","NLTC Perera",6,3,3
"A Zampa","P Nissanka",26,23,5.30769230769231
"A Zampa","P Nissanka",26,23,5.30769230769231
"A Zampa","PADLR Sandakan",7,3,2.57142857142857
"A Zampa","PJ van Biljon",7,3,2.57142857142857
"A Zampa","PWH de Silva",13,12,5.53846153846154
"A Zampa","Q de Kock",13,20,9.23076923076923
"A Zampa","RG Sharma",13,13,6
"A Zampa","S Dhawan",18,14,4.66666666666667
"A Zampa","SA Yadav",22,45,12.2727272727273
"A Zampa","Shahid Afridi",4,7,10.5
"A Zampa","Shakib Al Hasan",30,29,5.8
"A Zampa","Shamim Hossain",14,13,5.57142857142857
"A Zampa","Shoaib Malik",10,16,9.6
"A Zampa","Shoriful Islam",2,0,0
"A Zampa","Shuvagata Hom",6,11,11
"A Zampa","SL Malinga",7,3,2.57142857142857
"A Zampa","Soumya Sarkar",6,3,3
"A Zampa","SW Billings",3,2,4
"A Zampa","TA Blundell",5,3,3.6
"A Zampa","Umar Akmal",7,8,6.85714285714286
"A Zampa","V Kohli",74,90,7.2972972972973
"A Zampa","WIA Fernando",13,13,6
"AA Gajic","C Hartmann",7,6,5.14285714285714
"AA Gajic","Fayaz Mohammad",1,0,0
"AA Gajic","H Lakov",3,2,4
"AA Gajic","KC D'Souza",2,0,0
"AA Gajic","M Ozturk",4,0,0
"AA Gajic","Omar Rassol",1,0,0
"AA Gajic","R Nath",11,4,2.18181818181818
"AA Gajic","R Satheesan",2,1,3
"AA Noffke","DL Vettori",2,2,6
"AA Noffke","JS Patel",8,4,3
"AA Noffke","KD Mills",4,4,6
"AA Noffke","MR Gillespie",3,2,4
"AA Noffke","P Kumar",1,0,0
"AAhan Achar","Aminuddin Ramly",5,2,2.4
"AAhan Achar","CT Mutombodzi",2,0,0
"AAhan Achar","Fitri Sham",3,1,2
"AAhan Achar","Haroon Arshad",1,0,0
"AAhan Achar","JJ Atkinson",14,10,4.28571428571429
"AAhan Achar","MP O'Dowd",5,6,7.2
"Aamer Jamal","SM Curran",2,2,6
"Aamer Yamin","C de Grandhomme",2,1,3
"Aamer Yamin","JJ Roy",1,0,0
"Aamir Kaleem","A Balbirnie",4,6,9
"Aamir Kaleem","A Bohara",5,2,2.4
"Aamir Kaleem","Ahmed Raza",1,0,0
"Aamir Kaleem","Amjad Javed",3,0,0
"Aamir Kaleem","B Bhandari",3,4,8
"Aamir Kaleem","CN Onwuzulike",1,0,0
"Aamir Kaleem","D Ajekun",3,1,2
"Aamir Kaleem","D Gim",1,0,0
"Aamir Kaleem","Ehsan Khan",10,9,5.4
"Aamir Kaleem","IO Okpe",2,1,3
"Aamir Kaleem","Karan KC",4,2,3
"Aamir Kaleem","Kashif Daud",7,11,9.42857142857143
"Aamir Kaleem","KD Shah",1,0,0
"Aamir Kaleem","KJ O'Brien",15,32,12.8
"Aamir Kaleem","Mohamed Rishwan",4,2,3
"Aamir Kaleem","Mohammad Shahzad (2)",5,6,7.2
"Aamir Kaleem","MS Chapman",8,10,7.5
"Aamir Kaleem","Muhammad Usman",10,12,7.2
"Aamir Kaleem","Muzammil Shahzad",1,0,0
"Aamir Kaleem","Nizakat Khan",7,5,4.28571428571429
"Aamir Kaleem","NR Kumar",1,0,0
"Aamir Kaleem","PR Stirling",4,6,9
"Aamir Kaleem","R Goodwin",2,0,0
"Aamir Kaleem","Rohan Mustafa",6,5,5
"Aamir Kaleem","S Jora",2,1,3
"Aamir Kaleem","S Lamichhane",3,1,2
"Aamir Kaleem","Shaiman Anwar",4,8,12
"Aamir Kaleem","TP Visee",3,1,2
"Aamir Kaleem","Waseem Muhammad",1,0,0
"Aamir Lal","A Patmore",1,0,0
"Aamir Lal","Anjar Tadarus",2,4,12
"Aamir Lal","DJ Hawoe",1,0,0
"Aamir Lal","GA Priandana",6,7,7
"Aamir Lal","KC Ramamoorthy",3,5,10
"Aamir Lal","L Yamamoto-Lake",2,1,3
"Aarif Sheikh","Jatinder Singh",3,1,2
"Aarif Sheikh","Rohan Mustafa",2,1,3
"Aarif Sheikh","Zeeshan Maqsood",11,11,6
"Aaron Jones","AF Ifill",7,2,1.71428571428571
"Aaron Jones","AR Puri",2,0,0
"Aaron Jones","KR Ebanks",5,2,2.4
"Aaron Jones","RP Burl",3,8,16
"Aaron Jones","SC Williams",1,0,0
"Aayan Afzal Khan","Afif Hossain",13,12,5.53846153846154
"Aayan Afzal Khan","CN Ackermann",5,5,6
"Aayan Afzal Khan","Liton Das",10,14,8.4
"Aayan Afzal Khan","P Nissanka",10,9,5.4
"Aayan Afzal Khan","PWH de Silva",3,2,4
"AB Agarkar","AB de Villiers",4,6,9
"AB Agarkar","HH Gibbs",1,0,0
"AB Agarkar","Salman Butt",2,2,6
"AB Dinda","AD Mathews",6,7,7
"AB Dinda","CK Coventry",1,0,0
"AB Dinda","CR Ervine",3,4,8
"AB Dinda","H Masakadza",8,2,1.5
"AB Dinda","Kamran Akmal",6,6,6
"AB Dinda","LD Chandimal",2,0,0
"AB Dinda","Mohammad Hafeez",15,20,8
"AB Dinda","RMS Eranga",2,0,0
"AB Dinda","RW Price",3,2,4
"AB Dinda","SCJ Broad",1,0,0
"AB Dinda","SL Malinga",2,0,0
"AB Dinda","SR Patel",3,1,2
"AB Dinda","ST Jayasuriya",2,0,0
"AB Dinda","TT Bresnan",1,0,0
"AB Dinda","Umar Akmal",3,1,2
"AB Kamara","IO Okpe",2,1,3
"AB Kamara","JO Adedeji",8,3,2.25
"AB Mengoumou","FA Cossa",4,8,12
"Abdul Majid","AR Berenger",3,2,4
"Abdul Majid","Iqbal Hussain",2,0,0
"Abdul Majid","Kamran Khan (2)",9,13,8.66666666666667
"Abdul Majid","Khurram Shahzad",5,0,0
"Abdul Majid","Mohammad Rizlan",15,10,4
"Abdul Majid","R Sandaruwan",12,15,7.5
"Abdul Razzaq","BB McCullum",2,1,3
"Abdul Razzaq","C Kieswetter",8,6,4.5
"Abdul Razzaq","CMW Read",1,0,0
"Abdul Razzaq","DL Vettori",3,4,8
"Abdul Razzaq","DPMD Jayawardene",3,0,0
"Abdul Razzaq","GJ Bailey",1,0,0
"Abdul Razzaq","HH Gibbs",7,2,1.71428571428571
"Abdul Razzaq","IJL Trott",25,13,3.12
"Abdul Razzaq","J Mubarak",2,0,0
"Abdul Razzaq","JD Ryder",4,1,1.5
"Abdul Razzaq","JEC Franklin",11,4,2.18181818181818
"Abdul Razzaq","JWM Dalrymple",9,6,4
"Abdul Razzaq","KP Pietersen",20,27,8.1
"Abdul Razzaq","LRPL Taylor",3,0,0
"Abdul Razzaq","ME Trescothick",4,3,4.5
"Abdul Razzaq","MJ Clarke",4,6,9
"Abdul Razzaq","MJ Guptill",18,29,9.66666666666667
"Abdul Razzaq","NT Broom",9,3,2
"Abdul Razzaq","PJ Cummins",3,7,14
"Abdul Razzaq","SB Styris",10,10,6
"Abdul Razzaq","ST Jayasuriya",9,17,11.3333333333333
"Abdul Waheed","Ahmed Raza",3,1,2
"Abdul Waheed","Chirag Suri",3,2,4
"Abdul Waheed","Waheed Ahmed",3,7,14
"Abdul Wahid","Ahmed Raza",3,2,4
"Abdul Wahid","Anasim Khan",1,0,0
"Abdul Wahid","Fiaz Ahmed",5,3,3.6
"Abdul Wahid","Haider Butt",3,2,4
"Abdul Wahid","Mohamed Azzam",2,0,0
"Abdul Wahid","Mohammad Ayaz",2,0,0
"Abdul Wahid","Rohan Mustafa",8,9,6.75
