"bowler1","batsman1","balls","runsConceded","ER"
"A Ashish Reddy","DJG Sammy",1,0,0
"A Ashish Reddy","G Gambhir",10,17,10.2
"A Ashish Reddy","JEC Franklin",2,0,0
"A Ashish Reddy","LRPL Taylor",5,6,7.2
"A Ashish Reddy","MA Agarwal",3,7,14
"A Ashish Reddy","Mandeep Singh",7,9,7.71428571428571
"A Ashish Reddy","MN Samuels",3,2,4
"A Ashish Reddy","MS Dhoni",16,29,10.875
"A Ashish Reddy","MS Dhoni",16,29,10.875
"A Ashish Reddy","N Saini",3,1,2
"A Ashish Reddy","RA Jadeja",1,0,0
"A Ashish Reddy","RV Uthappa",15,21,8.4
"A Ashish Reddy","V Kohli",15,18,7.2
"A Ashish Reddy","Yuvraj Singh",1,0,0
"A Chandila","AP Majumdar",3,0,0
"A Chandila","CL White",3,1,2
"A Chandila","JD Ryder",2,1,3
"A Chandila","M Vijay",4,2,3
"A Chandila","Mandeep Singh",8,1,0.75
"A Chandila","NLTC Perera",4,4,6
"A Chandila","PA Reddy",11,4,2.18181818181818
"A Chandila","RT Ponting",6,3,3
"A Chandila","RV Uthappa",8,12,9
"A Chandila","SC Ganguly",4,2,3
"A Chandila","SR Tendulkar",8,4,3
"A Choudhary","DA Warner",4,11,16.5
"A Choudhary","HM Amla",3,1,2
"A Choudhary","MM Sharma",1,0,0
"A Choudhary","PA Patel",1,0,0
"A Choudhary","SP Narine",1,0,0
"A Flintoff","LRPL Taylor",2,0,0
"A Flintoff","Z Khan",3,2,4
"A Kumble","A Symonds",13,13,6
"A Kumble","AB McDonald",2,1,3
"A Kumble","AC Gilchrist",38,34,5.36842105263158
"A Kumble","AD Mathews",5,6,7.2
"A Kumble","BB McCullum",22,16,4.36363636363636
"A Kumble","BJ Hodge",12,2,1
"A Kumble","DA Warner",4,4,6
"A Kumble","DJ Hussey",11,25,13.6363636363636
"A Kumble","DR Martyn",8,4,3
"A Kumble","DR Smith",1,0,0
"A Kumble","HH Gibbs",20,20,6
"A Kumble","JP Duminy",13,12,5.53846153846154
"A Kumble","KA Pollard",9,6,4
"A Kumble","Kamran Khan",1,0,0
"A Kumble","KC Sangakkara",13,13,6
"A Kumble","LA Carseldine",4,1,1.5
"A Kumble","M Morkel",1,0,0
"A Kumble","M Vijay",8,7,5.25
"A Kumble","MJ Lumb",7,5,4.28571428571429
"A Kumble","ML Hayden",37,29,4.7027027027027
"A Kumble","MM Patel",4,0,0
"A Kumble","MS Bisla",17,18,6.35294117647059
"A Kumble","PA Patel",9,6,4
"A Kumble","PP Ojha",2,0,0
"A Kumble","RA Jadeja",4,2,3
"A Kumble","RG Sharma",41,59,8.63414634146342
"A Kumble","RJ Harris",5,2,2.4
"A Kumble","S Badrinath",10,7,4.2
"A Kumble","SA Asnodkar",11,7,3.81818181818182
"A Kumble","SK Trivedi",1,0,0
"A Kumble","SK Warne",6,0,0
"A Kumble","SP Fleming",10,9,5.4
"A Kumble","SS Tiwary",14,18,7.71428571428571
"A Kumble","TL Suman",19,25,7.89473684210526
"A Kumble","WP Saha",13,11,5.07692307692308
"A Kumble","Y Nagar",9,6,4
"A Kumble","Y Venugopal Rao",14,26,11.1428571428571
"A Kumble","YK Pathan",8,7,5.25
"A Kumble","Yuvraj Singh",18,32,10.6666666666667
"A Mishra","A Mithun",1,0,0
"A Mishra","A Singh",1,0,0
"A Mishra","A Symonds",42,60,8.57142857142857
"A Mishra","A Zampa",6,5,5
"A Mishra","AA Bilakhia",11,7,3.81818181818182
"A Mishra","AA Jhunjhunwala",10,10,6
"A Mishra","AB Dinda",3,2,4
"A Mishra","AC Gilchrist",33,38,6.90909090909091
"A Mishra","AC Voges",5,4,4.8
"A Mishra","AD Hales",7,3,2.57142857142857
"A Mishra","AD Mathews",17,22,7.76470588235294
"A Mishra","AD Russell",21,23,6.57142857142857
"A Mishra","AD Russell",21,23,6.57142857142857
"A Mishra","AL Menaria",12,17,8.5
"A Mishra","AM Nayar",24,15,3.75
"A Mishra","AM Rahane",78,99,7.61538461538461
"A Mishra","AS Raut",6,6,6
"A Mishra","AT Rayudu",80,97,7.275
"A Mishra","AUK Pathan",4,4,6
"A Mishra","Azhar Mahmood",5,6,7.2
"A Mishra","B Kumar",1,0,0
"A Mishra","BJ Hodge",20,20,6
"A Mishra","CL White",6,1,1
"A Mishra","CR Woakes",2,0,0
"A Mishra","DA Warner",46,52,6.78260869565217
"A Mishra","DA Warner",46,52,6.78260869565217
"A Mishra","DB Ravi Teja",3,2,4
"A Mishra","DR Smith",37,59,9.56756756756757
"A Mishra","E Lewis",7,8,6.85714285714286
"A Mishra","G Gambhir",43,55,7.67441860465116
"A Mishra","GC Smith",16,21,7.875
"A Mishra","GJ Bailey",14,19,8.14285714285714
"A Mishra","GJ Maxwell",34,69,12.1764705882353
"A Mishra","Gurkeerat Singh",14,20,8.57142857142857
"A Mishra","H Klaasen",1,0,0
"A Mishra","HH Gibbs",12,5,2.5
"A Mishra","HH Pandya",11,6,3.27272727272727
"A Mishra","IK Pathan",35,29,4.97142857142857
"A Mishra","Ishan Kishan",8,8,6
"A Mishra","JC Buttler",5,8,9.6
"A Mishra","JH Kallis",40,35,5.25
"A Mishra","JR Hopes",10,15,9
"A Mishra","K Gowtham",2,1,3
"A Mishra","KA Pollard",79,135,10.253164556962
"A Mishra","KD Karthik",58,81,8.37931034482759
"A Mishra","KH Pandya",17,34,12
"A Mishra","KK Nair",43,63,8.7906976744186
"A Mishra","KM Jadhav",33,46,8.36363636363636
"A Mishra","KP Pietersen",24,32,8
"A Mishra","L Balaji",5,1,1.2
"A Mishra","LRPL Taylor",30,46,9.2
"A Mishra","M Kaif",12,12,6
"A Mishra","M Manhas",2,1,3
"A Mishra","M Vijay",8,11,8.25
"A Mishra","M Vohra",5,7,8.4
"A Mishra","MA Agarwal",9,12,8
"A Mishra","Mandeep Singh",31,32,6.19354838709677
"A Mishra","MC Henriques",45,48,6.4
"A Mishra","MC Juneja",11,5,2.72727272727273
"A Mishra","MD Mishra",8,5,3.75
"A Mishra","MEK Hussey",25,45,10.8
"A Mishra","MJ Guptill",16,17,6.375
"A Mishra","MK Pandey",68,77,6.79411764705882
"A Mishra","ML Hayden",7,9,7.71428571428571
"A Mishra","MS Bisla",11,3,1.63636363636364
"A Mishra","MS Dhoni",41,50,7.31707317073171
"A Mishra","NV Ojha",21,49,14
"A Mishra","OA Shah",9,5,3.33333333333333
"A Mishra","P Kumar",2,0,0
"A Mishra","PA Patel",5,4,4.8
"A Mishra","PC Valthaty",16,18,6.75
"A Mishra","PP Ojha",1,0,0
"A Mishra","R Bhatia",5,3,3.6
"A Mishra","R Dravid",23,24,6.26086956521739
"A Mishra","R McLaren",5,3,3.6
"A Mishra","R Sharma",1,0,0
"A Mishra","RA Jadeja",38,31,4.89473684210526
"A Mishra","RG Sharma",83,79,5.71084337349398
"A Mishra","RJ Harris",1,0,0
"A Mishra","RN ten Doeschate",2,2,6
"A Mishra","RP Singh",1,0,0
"A Mishra","RV Uthappa",74,90,7.2972972972973
"A Mishra","S Badrinath",22,18,4.90909090909091
"A Mishra","S Dhawan",33,40,7.27272727272727
"A Mishra","S Dube",6,5,5
"A Mishra","S Gopal",7,6,5.14285714285714
"A Mishra","Shahid Afridi",1,0,0
"A Mishra","Shivam Mavi",3,0,0
"A Mishra","Shubman Gill",17,19,6.70588235294118
"A Mishra","SK Raina",89,123,8.29213483146067
"A Mishra","SK Warne",7,7,6
"A Mishra","SPD Smith",43,41,5.72093023255814
"A Mishra","SR Tendulkar",45,56,7.46666666666667
"A Mishra","SR Watson",64,81,7.59375
"A Mishra","SS Tiwary",27,42,9.33333333333333
"A Mishra","ST Jayasuriya",8,10,7.5
"A Mishra","STR Binny",26,26,6
"A Mishra","SW Billings",1,0,0
"A Mishra","UBT Chand",8,14,10.5
"A Mishra","UT Khawaja",6,1,1
"A Mishra","V Kohli",93,146,9.41935483870968
"A Mishra","V Sehwag",26,51,11.7692307692308
"A Mishra","WP Saha",22,26,7.09090909090909
"A Mishra","Y Venugopal Rao",6,6,6
"A Mishra","Yashpal Singh",2,1,3
"A Mishra","YK Pathan",61,94,9.24590163934426
"A Mishra","Yuvraj Singh",36,30,5
"A Mithun","JA Morkel",3,2,4
"A Mithun","JH Kallis",11,14,7.63636363636364
"A Mithun","JR Hopes",7,6,5.14285714285714
"A Mithun","MS Wade",3,3,6
"A Mithun","RA Jadeja",3,2,4
"A Mithun","RR Powar",4,5,7.5
"A Mithun","S Badrinath",5,7,8.4
"A Mithun","V Sehwag",2,6,18
"A Nehra","A Ashish Reddy",9,8,5.33333333333333
"A Nehra","A Flintoff",4,3,4.5
"A Nehra","A Mishra",3,4,8
"A Nehra","A Zampa",1,0,0
"A Nehra","AB de Villiers",29,62,12.8275862068966
"A Nehra","AC Gilchrist",54,102,11.3333333333333
"A Nehra","AL Menaria",7,6,5.14285714285714
"A Nehra","AM Nayar",7,2,1.71428571428571
"A Nehra","Anureet Singh",9,3,2
"A Nehra","AP Tare",1,0,0
"A Nehra","AT Rayudu",18,29,9.66666666666667
"A Nehra","Azhar Mahmood",2,4,12
"A Nehra","B Akhil",8,14,10.5
"A Nehra","BB McCullum",30,31,6.2
"A Nehra","BJ Hodge",12,4,2
"A Nehra","CH Gayle",28,45,9.64285714285714
"A Nehra","CJ Anderson",8,5,3.75
"A Nehra","CM Gautam",3,2,4
"A Nehra","DB Das",7,9,7.71428571428571
"A Nehra","DJ Bravo",11,18,9.81818181818182
"A Nehra","DJ Hussey",15,14,5.6
"A Nehra","DR Smith",10,14,8.4
"A Nehra","DS Kulkarni",2,1,3
"A Nehra","G Gambhir",29,29,6
"A Nehra","GJ Bailey",15,9,3.6
"A Nehra","Harbhajan Singh",4,3,4.5
"A Nehra","HH Gibbs",3,1,2
"A Nehra","HH Pandya",4,1,1.5
"A Nehra","HV Patel",2,0,0
"A Nehra","IK Pathan",9,10,6.66666666666667
"A Nehra","JA Morkel",15,18,7.2
"A Nehra","JC Buttler",5,7,8.4
"A Nehra","KA Pollard",24,46,11.5
"A Nehra","KC Sangakkara",22,38,10.3636363636364
"A Nehra","KD Karthik",36,46,7.66666666666667
"A Nehra","KD Karthik",36,46,7.66666666666667
"A Nehra","KK Cooper",2,2,6
"A Nehra","KL Rahul",24,26,6.5
"A Nehra","L Balaji",3,2,4
"A Nehra","M Rawat",3,0,0
"A Nehra","M Vijay",30,29,5.8
"A Nehra","M Vohra",5,6,7.2
"A Nehra","MA Agarwal",11,9,4.90909090909091
"A Nehra","MEK Hussey",20,9,2.7
"A Nehra","ML Hayden",24,34,8.5
"A Nehra","MM Sharma",2,0,0
"A Nehra","MN van Wyk",9,8,5.33333333333333
"A Nehra","MR Marsh",4,3,4.5
"A Nehra","MS Bisla",9,6,4
"A Nehra","MS Dhoni",40,77,11.55
"A Nehra","MS Dhoni",40,77,11.55
"A Nehra","NLTC Perera",5,1,1.2
"A Nehra","NV Ojha",7,9,7.71428571428571
"A Nehra","PA Patel",37,63,10.2162162162162
"A Nehra","PJ Sangwan",1,0,0
"A Nehra","PP Ojha",1,1,6
"A Nehra","R Bhatia",4,3,4.5
"A Nehra","R Dravid",33,38,6.90909090909091
"A Nehra","R Sathish",4,1,1.5
"A Nehra","RA Jadeja",15,20,8
"A Nehra","RA Tripathi",3,0,0
"A Nehra","RG Sharma",37,62,10.0540540540541
