"batsman1","bowler1","totalRuns"
"A Ashish Reddy","A Nehra",7
"A Ashish Reddy","AB Dinda",9
"A Ashish Reddy","AD Mathews",25
"A Ashish Reddy","AD Russell",4
"A Ashish Reddy","Anureet Singh",2
"A Ashish Reddy","Azhar Mahmood",2
"A Ashish Reddy","B Kumar",1
"A Ashish Reddy","BW Hilfenhaus",2
"A Ashish Reddy","CH Morris",11
"A Ashish Reddy","DJ Bravo",24
"A Ashish Reddy","Harbhajan Singh",11
"A Ashish Reddy","Imran Tahir",2
"A Ashish Reddy","JEC Franklin",3
"A Ashish Reddy","JP Duminy",1
"A Ashish Reddy","JP Faulkner",2
"A Ashish Reddy","KA Pollard",3
"A Ashish Reddy","KK Cooper",8
"A Ashish Reddy","M Kartik",6
"A Ashish Reddy","M Morkel",5
"A Ashish Reddy","MG Johnson",7
"A Ashish Reddy","MM Sharma",7
"A Ashish Reddy","MR Marsh",3
"A Ashish Reddy","MS Gony",5
"A Ashish Reddy","P Kumar",6
"A Ashish Reddy","Parvez Rasool",18
"A Ashish Reddy","PP Chawla",2
"A Ashish Reddy","PV Tambe",3
"A Ashish Reddy","R Vinay Kumar",14
"A Ashish Reddy","RJ Peterson",7
"A Ashish Reddy","RP Singh",1
"A Ashish Reddy","Sandeep Sharma",13
"A Ashish Reddy","SL Malinga",3
"A Ashish Reddy","SMSM Senanayake",3
"A Ashish Reddy","SP Narine",1
"A Ashish Reddy","SR Watson",3
"A Ashish Reddy","STR Binny",4
"A Ashish Reddy","SW Tait",10
"A Ashish Reddy","TG Southee",9
"A Ashish Reddy","UT Yadav",20
"A Ashish Reddy","YS Chahal",13
"A Chandila","R Rampaul",1
"A Chandila","R Vinay Kumar",1
"A Chandila","RP Singh",2
"A Chopra","DP Vijaykumar",1
"A Chopra","DW Steyn",1
"A Chopra","GD McGrath",2
"A Chopra","Harmeet Singh",4
"A Chopra","JR Hopes",1
"A Chopra","PJ Sangwan",6
"A Chopra","PP Chawla",1
